Car ID,Lot Number,Storage Facility
1,Lot-01-A,Metro Storage Center
2,Lot-02-B,Metro Storage Center
3,Lot-03-C,Metro Storage Center
4,Lot-04-D,Metro Storage Center
5,Lot-05-E,Metro Storage Center
6,Lot-06-F,Metro Storage Center
7,Lot-07-G,Metro Storage Center
8,Lot-08-H,Metro Storage Center
9,Lot-09-I,Metro Storage Center
10,Lot-10-J,Metro Storage Center
11,Lot-11-A,Highway Auto Lot
12,Lot-12-B,Highway Auto Lot
13,Lot-13-C,Highway Auto Lot
14,Lot-14-D,Highway Auto Lot
15,Lot-15-E,Highway Auto Lot
16,Lot-16-F,Highway Auto Lot
17,Lot-17-G,Highway Auto Lot
18,Lot-18-H,Highway Auto Lot
19,Lot-19-I,Highway Auto Lot
20,Lot-20-J,Highway Auto Lot
21,Lot-21-A,Eastside Vehicle Park
22,Lot-22-B,Eastside Vehicle Park
23,Lot-23-C,Eastside Vehicle Park
24,Lot-24-D,Eastside Vehicle Park
25,Lot-25-E,Eastside Vehicle Park
26,Lot-26-F,Eastside Vehicle Park
27,Lot-27-G,Eastside Vehicle Park
28,Lot-28-H,Eastside Vehicle Park
29,Lot-29-I,Eastside Vehicle Park
30,Lot-30-J,Eastside Vehicle Park
31,Lot-31-A,North Auto Storage
32,Lot-32-B,North Auto Storage
33,Lot-33-C,North Auto Storage
34,Lot-34-D,North Auto Storage
35,Lot-35-E,North Auto Storage
36,Lot-36-F,North Auto Storage
37,Lot-37-G,North Auto Storage
38,Lot-38-H,North Auto Storage
39,Lot-39-I,North Auto Storage
40,Lot-40-J,North Auto Storage
41,Lot-41-A,Central Depot Yard
42,Lot-42-B,Central Depot Yard
43,Lot-43-C,Central Depot Yard
44,Lot-44-D,Central Depot Yard
45,Lot-45-E,Central Depot Yard
46,Lot-46-F,Central Depot Yard
47,Lot-47-G,Central Depot Yard
48,Lot-48-H,Central Depot Yard
49,Lot-49-I,Central Depot Yard
50,Lot-50-J,Central Depot Yard
51,Lot-51-A,Westline Auto Hub
52,Lot-52-B,Westline Auto Hub
53,Lot-53-C,Westline Auto Hub
54,Lot-54-D,Westline Auto Hub
55,Lot-55-E,Westline Auto Hub
56,Lot-56-F,Westline Auto Hub
57,Lot-57-G,Westline Auto Hub
58,Lot-58-H,Westline Auto Hub
59,Lot-59-I,Westline Auto Hub
60,Lot-60-J,Westline Auto Hub
61,Lot-61-A,Southside Car Depot
62,Lot-62-B,Southside Car Depot
63,Lot-63-C,Southside Car Depot
64,Lot-64-D,Southside Car Depot
65,Lot-65-E,Southside Car Depot
66,Lot-66-F,Southside Car Depot
67,Lot-67-G,Southside Car Depot
68,Lot-68-H,Southside Car Depot
69,Lot-69-I,Southside Car Depot
70,Lot-70-J,Southside Car Depot
71,Lot-71-A,Riverside Storage
72,Lot-72-B,Riverside Storage
73,Lot-73-C,Riverside Storage
74,Lot-74-D,Riverside Storage
75,Lot-75-E,Riverside Storage
76,Lot-76-F,Riverside Storage
77,Lot-77-G,Riverside Storage
78,Lot-78-H,Riverside Storage
79,Lot-79-I,Riverside Storage
80,Lot-80-J,Riverside Storage
81,Lot-81-A,Hilltop Auto Zone
82,Lot-82-B,Hilltop Auto Zone
83,Lot-83-C,Hilltop Auto Zone
84,Lot-84-D,Hilltop Auto Zone
85,Lot-85-E,Hilltop Auto Zone
86,Lot-86-F,Hilltop Auto Zone
87,Lot-87-G,Hilltop Auto Zone
88,Lot-88-H,Hilltop Auto Zone
89,Lot-89-I,Hilltop Auto Zone
90,Lot-90-J,Hilltop Auto Zone
91,Lot-91-A,Green Valley Storage
92,Lot-92-B,Green Valley Storage
93,Lot-93-C,Green Valley Storage
94,Lot-94-D,Green Valley Storage
95,Lot-95-E,Green Valley Storage
96,Lot-96-F,Green Valley Storage
97,Lot-97-G,Green Valley Storage
98,Lot-98-H,Green Valley Storage
99,Lot-99-I,Green Valley Storage
100,Lot-100-J,Green Valley Storage
