Car ID,Engine CC,Horsepower,Torque,Seating Capacity
1,5000,450,530,4
2,6200,455,610,4
3,6000,485,644,4
4,3500,400,650,5
5,6200,495,640,2
6,2900,270,400,4
7,5300,355,530,7
8,3600,295,353,5
9,4000,360,460,5
10,3600,308,380,5
11,6000,395,610,5
12,5300,355,530,7
13,3600,400,500,7
14,6500,500,800,7
15,3600,290,353,5
16,2900,270,400,5
17,4000,360,460,5
18,3500,308,380,5
19,3600,295,353,5
20,5000,450,530,4
21,3600,308,380,5
22,2500,310,380,5
23,6000,395,610,5
24,6400,475,650,5
25,6200,495,640,5
26,5000,450,530,4
27,6200,455,610,4
28,6000,485,644,4
29,3500,400,500,5
30,2900,270,400,4
31,2500,240,310,5
32,2500,240,310,5
33,4000,360,460,5
34,6200,495,640,2
35,8000,720,970,2
36,2900,270,400,4
37,6300,710,880,7
38,2900,330,450,5
39,6200,495,640,5
40,3600,295,353,5
41,6500,450,610,7
42,3500,308,380,5
43,5000,450,530,5
44,3600,295,353,5
45,3600,308,380,5
46,6200,455,610,4
47,3600,308,380,5
48,3500,308,380,5
49,2900,270,400,4
50,6200,495,640,5
51,6200,495,640,5
52,3500,308,380,5
53,6000,395,610,5
54,6400,475,650,5
55,6200,495,640,5
56,6200,455,610,4
57,8000,720,970,2
58,6300,710,880,7
59,2900,330,450,5
60,3600,295,353,5
61,3600,308,380,5
62,3600,308,380,5
63,3500,308,380,5
64,6200,475,610,4
65,3500,308,380,5
66,2900,270,400,4
67,6200,495,640,5
68,3600,308,380,5
69,3500,308,380,5
70,3500,308,380,5
71,6200,495,640,5
72,4000,360,460,5
73,6200,495,640,5
74,6000,395,610,5
75,6400,475,650,5
76,5000,450,530,4
77,2900,330,450,5
78,8000,720,970,2
79,6200,455,610,4
80,3500,308,380,5
81,3600,308,380,5
82,2900,270,400,4
83,6200,495,640,5
84,6200,495,640,5
85,6200,495,640,5
86,6300,710,880,7
87,6000,395,610,5
88,6400,475,650,5
89,2900,330,450,5
90,3600,295,353,5
91,8000,720,970,2
92,6200,455,610,4
93,3500,308,380,5
94,3600,308,380,5
95,2900,270,400,4
96,6200,495,640,5
97,6200,495,640,5
98,6200,495,640,5
99,6300,710,880,7
100,6400,475,650,5
