Car ID,Availability,Mileage,Condition
1,Available,32000,Excellent
2,Sold,42000,Good
3,Available,18000,Excellent
4,Sold,56000,Fair
5,Available,15000,Excellent
6,Available,49000,Crashed
7,Sold,36000,Excellent
8,Available,22000,Good
9,Available,28000,Excellent
10,Available,41000,Crashed
11,Sold,62000,Excellent
12,Available,27000,Crashed
13,Available,58000,Excellent
14,Sold,19000,Excellent
15,Available,33000,Good
16,Available,47000,Excellent
17,Sold,38000,Crashed
18,Available,25000,Excellent
19,Available,21000,Excellent
20,Sold,34000,Good
21,Available,29000,Excellent
22,Available,54000,Excellent
23,Sold,43000,Excellent
24,Available,12000,Excellent
25,Available,47000,Excellent
26,Available,35000,Good
27,Sold,41000,Excellent
28,Available,60000,Excellent
29,Available,31000,Excellent
30,Sold,29000,Excellent
31,Available,46000,Excellent
32,Available,51000,Fair
33,Available,25000,Crashed
34,Sold,43000,Excellent
35,Available,17000,Excellent
36,Sold,26000,Excellent
37,Available,48000,Crashed
38,Available,38000,Good
39,Sold,33000,Excellent
40,Available,52000,Excellent
41,Available,61000,Crashed
42,Sold,35000,Excellent
43,Available,43000,Excellent
44,Sold,24000,Excellent
45,Available,50000,Excellent
46,Available,27000,Good
47,Sold,19000,Excellent
48,Available,52000,Excellent
49,Available,39000,Excellent
50,Sold,47000,Excellent
51,Available,28000,Excellent
52,Available,15000,Excellent
53,Available,38000,Excellent
54,Sold,26000,Excellent
55,Available,34000,Excellent
56,Available,47000,Excellent
57,Available,22000,Crashed
58,Available,54000,Excellent
59,Sold,37000,Excellent
60,Available,19000,Crashed
61,Available,28000,Excellent
62,Available,32000,Excellent
63,Sold,33000,Excellent
64,Available,21000,Excellent
65,Available,56000,Excellent
66,Available,41000,Excellent
67,Available,36000,Excellent
68,Sold,15000,Excellent
69,Available,38000,Excellent
70,Sold,43000,Excellent
71,Available,52000,Excellent
72,Available,27000,Crashed
73,Available,45000,Excellent
74,Sold,31000,Excellent
75,Available,22000,Excellent
76,Available,35000,Excellent
77,Available,29000,Excellent
78,Available,25000,Crashed
79,Sold,48000,Excellent
80,Available,39000,Excellent
81,Available,41000,Excellent
82,Sold,34000,Excellent
83,Available,29000,Excellent
84,Available,18000,Crashed
85,Available,31000,Good
86,Available,47000,Crashed
87,Sold,26000,Excellent
88,Available,55000,Excellent
89,Available,32000,Excellent
90,Available,46000,Excellent
91,Available,23000,Crashed
92,Sold,17000,Excellent
93,Available,48000,Excellent
94,Available,34000,Excellent
95,Available,27000,Excellent
96,Sold,31000,Excellent
97,Available,19000,Excellent
98,Available,21000,Excellent
99,Available,26000,Crashed
100,Available,29000,Excellent
